Area,Production,Rainfall,Season,Temperature,Crop,Nitrogen(kg/ha),ElectricalConductivity(ds/m),pH
16.0,7.0,153.24425,Summer,29.21375,Moong(Green Gram),300.0,4.1,5.1
24.0,223.0,91.02764990381884,Whole Year,26.97634618146829,Onion,491.0,4.7,5.8
3398.0,117313.0,182.526,Kharif,28.12533333333333,Sugarcane,273.0,5.7,5.6
3.0,41.0,181.2485,Summer,24.778,Onion,241.0,5.4,6.5
18981.0,13689.0,56.13700000000001,Rabi,23.47075,Groundnut,368.0,1.8,6.8
6800.0,3502.0,207.99175,Summer,30.59475,Urad,242.0,5.6,6.3
586.0,320.0,18.846,Rabi,18.758,Gram,266.0,1.6,7.4
78.0,9.1,267.19733333333335,Kharif,26.91666666666667,Moong(Green Gram),296.0,2.9,6.6
105.0,197.0,49.15649999999999,Rabi,23.67925,Dry chillies,369.0,1.2,6.0
9929.0,1802.0,117.685,Kharif,26.64,Sesamum,372.0,1.3,5.7
49307.0,95656.0,102.999,Kharif,28.259,Maize,258.0,3.7,6.8
22927.0,17766.0,36.84325,Rabi,20.28625,Wheat,308.0,4.9,5.6
5.0,5.7,166.72425,Summer,24.833,Jowar,331.0,2.1,6.4
340.0,334.0,63.74549999999999,Rabi,20.84225,Gram,267.0,4.6,6.8
48.0,34.0,369.99831724707036,Whole Year,25.184303844596872,Dry chillies,356.0,2.3,5.4
39.0,108.7,244.878,Summer,28.20775,Maize,274.0,1.5,7.1
1747.0,14740.0,85.97358333333334,Whole Year,26.3745,Potato,325.0,5.6,7.0
124278.0,344240.0,5.00225,Rabi,20.417,Wheat,254.0,5.5,5.3
326.0,224.0,147.312,Kharif,27.26566666666666,Arhar/Tur,472.0,3.5,5.0
2637.0,53746.0,87.83896875103413,Whole Year,27.92352375996489,Potato,490.0,3.2,7.1
279.0,204.0,136.59799999999998,Kharif,28.89033333333333,Groundnut,369.0,1.6,6.4
11900.0,19270.0,222.3903333333334,Kharif,22.04333333333333,Rice,240.0,2.9,6.5
18006.0,36000.0,71.02166666666666,Kharif,28.289,Maize,473.0,2.9,6.6
1543.0,234.0,179.827,Kharif,27.611,Sesamum,369.0,5.5,5.8
10.0,440.0,70.71422309963863,Whole Year,28.42289388231772,Sugarcane,361.0,3.6,7.3
2009.0,3397.0,15.88675,Rabi,20.16575,Gram,209.0,3.7,6.1
1944.0,7962.0,177.61900000000003,Kharif,25.12333333333333,Maize,208.0,1.9,7.3
43805.0,34844.0,44.8815,Autumn,25.45675,Rice,430.0,3.6,5.0
162.0,100.0,63.44,Kharif,28.52566666666667,Arhar/Tur,229.0,4.8,6.0
5700.0,8600.0,8.3225,Rabi,20.0425,Gram,393.0,1.2,6.8
58982.0,55753.0,47.5885,Rabi,24.2685,Gram,329.0,5.1,5.4
4254.0,29824.0,32.89373382049268,Whole Year,27.76936527126959,Onion,211.0,4.8,7.1
25273.0,45674.0,21.058333333333326,Kharif,27.13766666666667,Rice,476.0,1.7,5.1
2.0,77012.30591908224,118.754,Kharif,27.48933333333333,Sesamum,263.0,4.2,6.4
1272.0,5005.0,53.29125000000001,Rabi,23.93125,Dry chillies,448.0,5.2,7.0
388.0,912.0,139.434,Summer,24.52325,Maize,450.0,4.3,5.7
4276.0,5360.0,267.1153333333334,Kharif,26.66133333333333,Maize,446.0,1.2,7.1
1466.0,349.0,29.9835,Rabi,22.66,Rapeseed &Mustard,443.0,2.8,6.6
15874.0,12556.0,129.55,Kharif,26.615,Groundnut,228.0,2.8,5.3
111.0,1160.0,13.189,Winter,23.49375,Potato,500.0,1.9,7.4
40.0,31.0,63.01133333333333,Kharif,29.685,Groundnut,475.0,3.5,6.8
81.0,40.0,89.08399999999996,Kharif,16.47,Dry chillies,361.0,4.2,6.8
50100.0,120900.0,0.35175,Rabi,24.2875,Wheat,326.0,5.6,6.0
218709.0,632775.0,18.04375,Rabi,19.57525,Wheat,423.0,4.4,6.1
206000.0,784000.0,19.92775,Rabi,17.656,Wheat,295.0,1.4,6.9
100.0,200.0,39.91266666666667,Kharif,28.93866666666667,Groundnut,493.0,4.6,6.8
700.0,100.0,7.564249999999999,Rabi,23.92625,Sesamum,247.0,5.1,5.4
560.0,340.0,222.4402634268832,Whole Year,21.861902069282497,Dry chillies,350.0,2.7,5.7
21039.0,7343.0,168.27666666666667,Kharif,27.29066666666667,Urad,279.0,3.3,6.2
11908.0,2310.0,149.8696666666667,Kharif,27.41833333333333,Sesamum,376.0,2.4,5.8
11800.0,2200.0,131.111,Kharif,28.894,Sesamum,232.0,1.1,6.0
34.0,74.0,20.5375,Rabi,21.546,Gram,351.0,5.6,7.1
401.0,488.0,238.4733333333334,Kharif,26.61033333333333,Maize,247.0,4.3,7.1
1167.0,447.0,189.7873333333333,Kharif,28.59866666666666,Urad,459.0,4.4,5.8
44.0,21.0,104.23,Rabi,23.23325,Moong(Green Gram),326.0,2.5,6.6
87539.0,43978.0,301.243,Kharif,26.84666666666666,Rice,296.0,5.4,7.1
3100.0,4400.0,161.175,Summer,26.867,Groundnut,223.0,4.2,5.2
5300.0,2400.0,235.507,Kharif,25.554,Arhar/Tur,270.0,2.8,7.3
5323.0,27470.0,102.6852714029639,Whole Year,30.48926765411819,Maize,229.0,2.3,7.1
90.0,40.0,218.9024504213686,Whole Year,19.25736354146573,Dry chillies,378.0,5.5,5.3
12300.0,9100.0,0.76725,Rabi,24.30325,Gram,221.0,3.8,5.7
25.0,262.0,61.97058321617484,Whole Year,29.259290797969214,Potato,483.0,4.2,7.2
53.0,135.0,10.513,Rabi,21.6385,Jowar,329.0,2.8,6.0
131.0,196.8,305.575,Summer,26.33825,Groundnut,332.0,4.6,7.4
696.0,177.0,149.531,Kharif,28.248,Jowar,283.0,2.9,6.1
600.0,355.0,16.9525,Rabi,19.66575,Rapeseed &Mustard,334.0,4.9,7.0
2897.0,1841.0,185.05900000000003,Kharif,25.26966666666667,Arhar/Tur,496.0,5.3,7.2
60.0,1100.0,31.8036538958122,Whole Year,27.91953710210267,Onion,358.0,5.5,5.8
188.0,134.0,34.50525,Rabi,20.42025,Moong(Green Gram),468.0,4.0,6.9
42.0,539.0,68.8415937307738,Whole Year,28.178795541371517,Onion,473.0,1.5,5.1
2171.0,2177.6,188.13266666666667,Kharif,25.90733333333333,Jowar,284.0,3.0,6.8
200679.0,162018.0,54.18875,Rabi,25.34825,Jowar,211.0,1.5,7.5
5200.0,4000.0,259.10225,Summer,28.242,Groundnut,482.0,2.7,5.4
286.0,310.0,112.4963333333333,Kharif,26.26166666666667,Rice,489.0,5.3,5.3
160.0,100.0,216.8703333333334,Kharif,23.452333333333332,Sesamum,367.0,2.5,6.6
48463.0,3499.0,84.44533333333334,Kharif,26.811,Arhar/Tur,491.0,5.1,5.1
28322.0,21147.0,12.0775,Rabi,21.36175,Wheat,264.0,2.0,7.2
578.0,457.0,150.1169045845524,Whole Year,26.91399437538848,Dry chillies,377.0,5.0,7.3
2.0,2.0,139.1473333333333,Kharif,27.445,Arhar/Tur,246.0,5.0,7.2
2748.0,5271.0,27.67175,Rabi,22.088,Wheat,287.0,2.4,5.0
140000.0,354000.0,16.63625,Winter,23.4645,Rice,287.0,5.1,6.5
4139.0,616.0,161.21533333333332,Kharif,26.66466666666667,Sesamum,401.0,3.2,5.9
667.0,506.0,134.05425,Summer,30.2815,Moong(Green Gram),489.0,2.6,7.2
3000.0,3000.0,7.25425,Rabi,18.9505,Rapeseed &Mustard,235.0,3.2,5.6
10628.0,4294.0,231.65833333333333,Kharif,27.54433333333333,Urad,275.0,1.7,5.6
49956.0,60221.0,181.71966666666668,Kharif,26.00733333333333,Groundnut,300.0,1.3,7.0
139.0,10504.0,56.536053818238,Whole Year,27.63333213519143,Sugarcane,351.0,1.3,5.3
2891.0,1963.0,204.21625,Summer,30.67275,Urad,355.0,1.7,6.2
5724.0,4791.0,208.9846666666666,Kharif,26.756,Jowar,407.0,3.3,5.4
1211.0,315.0,76.78502144418724,Whole Year,27.87568663194445,Sesamum,249.0,4.8,6.7
1517.0,248.8,21.14925,Winter,22.57175,Sesamum,313.0,4.2,7.3
2960.0,3546.0,108.7836666666667,Kharif,19.041333333333327,Maize,370.0,5.5,5.3
122.0,23.1,2.62125,Winter,22.294,Moong(Green Gram),429.0,3.7,5.2
400.0,200.0,130.2816666666667,Kharif,27.54833333333334,Urad,343.0,3.2,5.6
1023.0,773.0,196.76166666666668,Kharif,28.03566666666667,Urad,361.0,4.8,5.8
372.0,20620.0,12.2105,Winter,22.42775,Sugarcane,430.0,5.2,6.3
1555.0,5057.0,160.694,Kharif,27.51066666666667,Dry chillies,462.0,2.7,6.5
119500.0,174200.0,124.7913333333333,Kharif,26.72166666666666,Rice,474.0,1.9,6.9
103.0,62.0,41.47625,Rabi,18.22525,Gram,259.0,4.6,6.6
267.0,166.0,7.32125,Rabi,22.52775,Rapeseed &Mustard,422.0,2.1,5.7
208962.0,212538.0,12.75425,Rabi,21.03025,Gram,372.0,3.7,5.5
382.0,29400.0,209.1062638888889,Whole Year,26.19218055555555,Sugarcane,351.0,4.5,7.5
3511.0,898.8,6.2429999999999986,Winter,22.00775,Sesamum,277.0,2.6,6.3
5023.0,5843.0,82.75383779197591,Whole Year,28.99662706136262,Dry chillies,430.0,4.4,5.3
84.0,20.0,87.07376388888889,Whole Year,29.29623611111111,Sesamum,440.0,3.0,5.9
3337.0,2066.0,26.39675,Rabi,20.6935,Rapeseed &Mustard,361.0,3.3,6.0
5618.0,1747.0,174.14866666666668,Kharif,28.32533333333333,Arhar/Tur,207.0,2.8,5.5
15085.0,11359.0,55.0795,Autumn,23.73425,Rice,451.0,2.4,6.6
523.0,2484.0,75.29650460808246,Whole Year,26.949412656500375,Onion,264.0,4.4,7.1
21.0,31.0,178.75775,Summer,29.33125,Rice,239.0,2.5,6.1
35.0,40.0,401.2203333333334,Kharif,27.420333333333332,Arhar/Tur,383.0,4.9,5.7
1740.0,4324.0,78.39399999999998,Summer,25.9095,Maize,484.0,3.4,7.0
2648.0,1899.0,160.6616666666667,Kharif,28.23133333333334,Urad,291.0,5.4,5.7
32.0,25.0,171.61700000000005,Kharif,29.40933333333334,Urad,387.0,3.7,7.0
234673.0,762453.0,211.3133333333334,Kharif,28.50233333333334,Rice,486.0,4.9,6.7
5000.0,6600.0,40.59,Kharif,29.354,Jowar,236.0,3.9,7.1
790.0,1090.0,150.0223333333333,Kharif,25.397,Rice,381.0,1.4,5.4
3300.0,2000.0,23.044,Kharif,28.70933333333333,Arhar/Tur,326.0,3.5,5.7
2916.0,12809.0,195.7435,Summer,23.9245,Maize,386.0,2.0,6.3
8.0,0.0,81.66533333333331,Kharif,28.254,Moong(Green Gram),446.0,3.9,5.1
1.0,1.0,153.357,Kharif,27.594,Sesamum,323.0,2.5,7.1
3447.0,1430.0,214.2346666666666,Kharif,27.369,Moong(Green Gram),415.0,2.6,6.5
500.0,200.0,209.61766666666668,Kharif,27.29,Urad,271.0,5.7,5.9
507.0,116.1,281.05325,Summer,26.4965,Arhar/Tur,235.0,3.2,6.9
1081.0,47073.0,159.281,Kharif,27.81466666666667,Sugarcane,371.0,2.1,6.9
27520.0,12329.0,28.46925,Rabi,25.44400000000001,Jowar,465.0,4.8,6.9
447.0,96.0,166.412,Kharif,28.16166666666667,Sesamum,202.0,2.2,5.6
366.0,262.0,136.3103333333333,Kharif,25.12433333333334,Sesamum,397.0,5.2,7.1
681.0,279.0,186.63933333333333,Kharif,25.81033333333333,Sesamum,272.0,4.9,7.4
105.0,5401.0,222.0830321475385,Whole Year,28.02485871601521,Sugarcane,439.0,5.2,5.0
277.0,194.5,15.36125,Winter,22.074,Groundnut,381.0,2.1,6.0
15569.0,29187.0,167.355,Kharif,28.49233333333333,Maize,246.0,3.8,5.2
357.0,4059.0,171.5296672343187,Whole Year,27.50109806080676,Onion,259.0,4.6,6.3
6274.0,8007.0,61.323767144097225,Whole Year,29.742022412712192,Dry chillies,454.0,4.3,6.4
1485.0,683.0,437.631,Kharif,26.224,Sesamum,254.0,5.2,6.6
579.0,1537.0,94.44475,Summer,31.254,Rice,367.0,4.7,7.5
3330.0,2064.0,14.677,Kharif,29.57133333333333,Jowar,479.0,5.3,7.0
212.0,116.0,99.50266666666668,Kharif,27.783,Dry chillies,355.0,4.0,6.1
1526.0,675.0,170.232,Kharif,27.374,Urad,299.0,2.1,6.9
980.0,1130.0,3.85275,Rabi,19.84925,Rapeseed &Mustard,316.0,4.6,5.6
202087.0,262511.0,95.81001297806559,Whole Year,27.02428219594023,Wheat,436.0,5.2,5.2
8289.0,895.0,137.39866666666668,Kharif,27.51166666666667,Sesamum,341.0,3.4,6.7
2625.0,2908.0,7.5435,Rabi,20.09175,Gram,463.0,2.3,6.1
134.0,2600.0,45.34639109634099,Whole Year,27.40496401004939,Onion,308.0,1.7,7.1
15.0,39.0,30.79825,Rabi,20.785,Maize,437.0,2.7,6.2
26997.0,5000.0,39.86066666666667,Kharif,30.03833333333334,Jowar,249.0,4.6,7.4
4478.0,6756.0,125.1383062804512,Whole Year,29.007043159620327,Dry chillies,384.0,5.3,7.4
1023.0,3274.0,12.81925,Rabi,21.375,Maize,491.0,1.4,7.3
132142.0,295337.0,117.139,Kharif,28.84066666666666,Rice,477.0,3.7,5.6
